job_id,title,company_name,location,date_posted,industry,job_type,job_level,extracted_skills,salary_min,salary_max,salary_currency,is_data_role,url,ingested_at,salary_midpoint
arbeitnow_machine-learning-researcher-london-360708,Machine Learning Researcher,Janestreet,London,2026-09-22,Machine Learning,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/machine-learning-researcher-london-360708,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-researcher-london-85548,Machine Learning Researcher,Janestreet,London,2026-09-22,Machine Learning,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/machine-learning-researcher-london-85548,2026-09-22T13:57:01Z,
arbeitnow_market-data-specialist-metadata-london-216016,"Market Data Specialist, Metadata",Janestreet,London,2026-09-22,Software Engineering,,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/market-data-specialist-metadata-london-216016,2026-09-22T13:57:01Z,
arbeitnow_marketing-and-brand-designer-uk-london-472219,Marketing and Brand Designer (UK),Ifsnexusblack,London,2026-09-22,Design,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/ifsnexusblack/marketing-and-brand-designer-uk-london-472219,2026-09-22T13:57:01Z,
arbeitnow_mobile-application-developer-ai-finance-agent-london-324423,Mobile Application Developer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/mobile-application-developer-ai-finance-agent-london-324423,2026-09-22T13:57:01Z,
arbeitnow_mobile-application-developer-ai-neobank-app-london-23262,Mobile Application Developer - AI Neobank App,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/mobile-application-developer-ai-neobank-app-london-23262,2026-09-22T13:57:01Z,
arbeitnow_mobile-engineer-ai-finance-agent-london-382785,Mobile Engineer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/mobile-engineer-ai-finance-agent-london-382785,2026-09-22T13:57:01Z,
arbeitnow_network-security-engineer-london-55640,Network Security Engineer,Janestreet,London,2026-09-22,Network Engineering,,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/janestreet/network-security-engineer-london-55640,2026-09-22T13:57:01Z,
arbeitnow_ot-security-consultant-penetration-tester-dortmund-181653,OT-Security Consultant / Penetration Tester (m/w/d),Yekta IT GmbH,"Dortmund, Remote",2026-09-22,"Remote, IT Security",berufserfahren,,,,,,0,https://www.arbeitnow.com/jobs/companies/yekta-it-gmbh/ot-security-consultant-penetration-tester-dortmund-181653,2026-09-22T13:57:01Z,
arbeitnow_product-bi-ops-analyst-london-48225,Product BI & Ops Analyst,Beamery,"London, UK",2026-09-22,Product,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/beamery/product-bi-ops-analyst-london-48225,2026-09-22T13:57:01Z,
arbeitnow_product-designer-london-240336,Product Designer,Plasma,London Office,2026-09-22,Design,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/plasma/product-designer-london-240336,2026-09-22T13:57:01Z,
arbeitnow_remote-account-executive-dach-446232,"Account Executive, DACH",Netboxlabs,"Germany, Remote",2026-09-22,Sales,Full Time,,,,,,0,https://www.arbeitnow.com/jobs/companies/netboxlabs/remote-account-executive-dach-446232,2026-09-22T13:57:01Z,
arbeitnow_remote-account-executive-deutschland-dusseldorf-204800,Account Executive Deutschland,Innova Market Insights,"Remote job, Remote",2026-09-22,"Sales, Remote","Mid, fulltime fixed term",,,,,,0,https://www.arbeitnow.com/jobs/companies/innova-market-insights/remote-account-executive-deutschland-dusseldorf-204800,2026-09-22T13:57:01Z,
arbeitnow_remote-ai-solution-architect-nurnberg-mittelfranken-470178,AI Solution Architect (m/w/d),virtual7 GmbH,"Homeoffice, Remote",2026-09-22,"Customer Cluster Environment, Transportation & Energy, Remote","Experienced, fulltime permanent",,Python,,,,1,https://www.arbeitnow.com/jobs/companies/virtual7-gmbh/remote-ai-solution-architect-nurnberg-mittelfranken-470178,2026-09-22T13:57:01Z,
arbeitnow_remote-freiberufliche-lehrkraft-fur-bi-analytics-318186,Freiberufliche Lehrkraft (w/m/d) für BI Analytics,Karrieretutor De,100% Remote in Deutschland,2026-09-22,"Lehrkraft, Dozentin, Dozent, Freiberuflich, Freelancer, BI, Analytics","Experienced, Freelance, Part time",,,,,,1,https://www.arbeitnow.com/jobs/companies/karrieretutor-de/remote-freiberufliche-lehrkraft-fur-bi-analytics-318186,2026-09-22T13:57:01Z,
arbeitnow_remote-freiberufliche-lehrkraft-fur-data-analytics-318614,Freiberufliche Lehrkraft (w/m/d) für Data Analytics,Karrieretutor De,100% Remote in Deutschland,2026-09-22,"Lehrkraft, Dozentin, Dozent, Freiberuflich, Freelancer, Analytics, Data Analytics","Experienced, Freelance, Part time",,,,,,1,https://www.arbeitnow.com/jobs/companies/karrieretutor-de/remote-freiberufliche-lehrkraft-fur-data-analytics-318614,2026-09-22T13:57:01Z,
arbeitnow_remote-freiberuflicher-microsoft-certified-trainer-328696,Freiberuflicher Microsoft Certified Trainer (w/m/d),Karrieretutor De,100% Remote in Deutschland,2026-09-22,"Lehrkraft, Dozentin, Dozent, Freiberuflich, Freelancer, Microsoft, Certified Trainer","Experienced, Freelance, Part time",,,,,,0,https://www.arbeitnow.com/jobs/companies/karrieretutor-de/remote-freiberuflicher-microsoft-certified-trainer-328696,2026-09-22T13:57:01Z,
arbeitnow_remote-it-systemadministrator-reinert-cottbus-68988,IT-Systemadministrator (m/w/d) Reinert,Ritter von Gral GmbH,"Homeoffice, Remote",2026-09-22,Remote,"Experienced, fulltime permanent",,,,,,0,https://www.arbeitnow.com/jobs/companies/ritter-von-gral-gmbh/remote-it-systemadministrator-reinert-cottbus-68988,2026-09-22T13:57:01Z,
arbeitnow_remote-kubernetes-administrator-private-cloud-engineer-karlsruhe-290825,Kubernetes Administrator/Private Cloud Engineer (m/w/d),virtual7 GmbH,"Homeoffice, Remote",2026-09-22,"Customer Cluster Justice, Remote","Experienced, fulltime permanent",,,,,,0,https://www.arbeitnow.com/jobs/companies/virtual7-gmbh/remote-kubernetes-administrator-private-cloud-engineer-karlsruhe-290825,2026-09-22T13:57:01Z,
arbeitnow_remote-trainee-im-finanzvertrieb-karriere-mit-struktur-verantwortung-und-perspektive-german-speaking-hamburg-176657,"Trainee (m/w/d) im Finanzvertrieb – Karriere mit Struktur, Verantwortung und Perspektive (German Speaking)",Kevin Kehr,"Homeoffice, Remote",2026-09-22,Remote,"Entry, fulltime permanent",,,,,,0,https://www.arbeitnow.com/jobs/companies/kevin-kehr/remote-trainee-im-finanzvertrieb-karriere-mit-struktur-verantwortung-und-perspektive-german-speaking-hamburg-176657,2026-09-22T13:57:01Z,
arbeitnow_remote-werkstudent-finance-beratung-unternehmerisch-leistungsbasiert-hamburg-177331,"Werkstudent (m/w/d) – Finance & Beratung (unternehmerisch, leistungsbasiert)",Kevin Kehr,"Homeoffice, Remote",2026-09-22,Remote,"Entry, fulltime permanent",,,,,,0,https://www.arbeitnow.com/jobs/companies/kevin-kehr/remote-werkstudent-finance-beratung-unternehmerisch-leistungsbasiert-hamburg-177331,2026-09-22T13:57:01Z,
arbeitnow_sales-development-representative-german-italian-speaker-hybrid-london-48567,Sales Development Representative - German/Italian Speaker - Hybrid,Instructure,United Kingdom,2026-09-22,Sales & Marketing,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/instructure/sales-development-representative-german-italian-speaker-hybrid-london-48567,2026-09-22T13:57:01Z,
arbeitnow_sales-executive-london-110645,Sales Executive,Lumaai,"London, UK",2026-09-22,Go-To-Market,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/lumaai/sales-executive-london-110645,2026-09-22T13:57:01Z,
arbeitnow_sales-executive-london-395345,Sales Executive,Zego,London,2026-09-22,Customer Operations,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/zego/sales-executive-london-395345,2026-09-22T13:57:01Z,
arbeitnow_scientist-i-london-473146,Scientist I,Imubiosciences,London,2026-09-22,Lab,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/imubiosciences/scientist-i-london-473146,2026-09-22T13:57:01Z,
arbeitnow_servicetechniker-grossbatteriespeicher-emsr-technik-munich-415137,Servicetechniker (m/w/d) – Großbatteriespeicher/ EMSR-Technik,ju:niz Energy GmbH,"Munich, Remote",2026-09-22,"Remote, Customer Service",berufserfahren,,,,,,0,https://www.arbeitnow.com/jobs/companies/juniz-energy-gmbh/servicetechniker-grossbatteriespeicher-emsr-technik-munich-415137,2026-09-22T13:57:01Z,
arbeitnow_site-reliability-engineer-london-191384,Site Reliability Engineer,Trainline,London,2026-09-22,Technology,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/trainline/site-reliability-engineer-london-191384,2026-09-22T13:57:01Z,
arbeitnow_software-engineer-london-149632,Software Engineer,Imubiosciences,London,2026-09-22,Data Platform,Full Time,,"SQL, Python, Snowflake",,,,1,https://www.arbeitnow.co.uk/jobs/companies/imubiosciences/software-engineer-london-149632,2026-09-22T13:57:01Z,
arbeitnow_software-engineer-london-401703,Software Engineer,Janestreet,London,2026-09-22,Software Engineering,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/software-engineer-london-401703,2026-09-22T13:57:01Z,
arbeitnow_software-engineer-london-468806,Software Engineer,Zego,London,2026-09-22,Data & Engineering,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/zego/software-engineer-london-468806,2026-09-22T13:57:01Z,
arbeitnow_software-test-qa-automation-engineer-mandatory-internship-unpaid-berlin-403562,Software Test (QA) Automation Engineer - Mandatory Internship (Unpaid),IndieKidz GmbH,"Berlin, Remote",2026-09-22,"Remote, Automation Engineering","Internship, professional / experienced",,,,,,0,https://www.arbeitnow.com/jobs/companies/indiekidz-gmbh/software-test-qa-automation-engineer-mandatory-internship-unpaid-berlin-403562,2026-09-22T13:57:01Z,
arbeitnow_steuerfachangestellter-all-genders-remote-germany-433039,Steuerfachangestellte:r (all genders) Remote,Integral De,Remote,2026-09-22,Tax & Accounting,Full Time,,,,,,0,https://www.arbeitnow.com/jobs/companies/integral-de/steuerfachangestellter-all-genders-remote-germany-433039,2026-09-22T13:57:01Z,
arbeitnow_strategic-account-executive-munich-56653,Strategic Account Executive,Zip,Remote - Germany,2026-09-22,Sales,Full Time,,,,,,0,https://www.arbeitnow.com/jobs/companies/zip/strategic-account-executive-munich-56653,2026-09-22T13:57:01Z,
arbeitnow_technical-onboarding-specialist-berlin-214043,Technical Onboarding Specialist (w/m/d),Roger,"Berlin, Remote",2026-09-22,"Remote, Helpdesk",berufserfahren,,,,,,0,https://www.arbeitnow.com/jobs/companies/roger/technical-onboarding-specialist-berlin-214043,2026-09-22T13:57:01Z,
